content,sentiment,traffic_class,place,date,time
Iyana-oworo inward Olopomeji and Gbagada Express Way is good to go. Charly Boy inward Gbagada to Car Wash and Oworoshoki is good to go.,Positive,free flow,Gbagada,2023-02-11,06:58:40
Pako inward Unilag Gate is Appreciable and good to go towards Abule Oja,Positive,free flow,Pako,2023-02-11,06:58:41
Traffic inward and outward of third mainland bridge is very free. Iyana Oworo towards Ogudu and Alapere is also a rapid flow,Positive,free flow,third mainland bridge,2023-02-11,15:04:35
Traffic inward and outward of third mainland bridge is very free. Iyana Oworo towards Ogudu and Alapere is also a rapid flow,Positive,free flow,Iyana Oworo,2023-02-11,15:04:35
Traffic inward and outward of third mainland bridge is very free. Iyana Oworo towards Ogudu and Alapere is also a rapid flow,Positive,free flow,Ogudu,2023-02-11,15:04:35
Command/Ekoro and its adjoining corridor is having a steady movement but Ekoro is good to go inward Agbelekale is good.,Positive,free flow,Command/Ekoro,2023-02-11,15:28:50
Command/Ekoro and its adjoining corridor is having a steady movement but Ekoro is good to go inward Agbelekale is good.,Positive,free flow,Ekoro,2023-02-11,15:28:50
"A car has broken down with rear tyre problem, just in front of Stanbic bank, inwards Shasha.",Negative,breakdown,Stanbic bank,2023-02-11,19:21:53
"Cement inward Dopemu underneath the bridge to Pako, Goye, iyana Ipaja is good",Positive,free flow,Cement,2023-02-11,19:57:47
"Cement inward Dopemu underneath the bridge to Pako, Goye, iyana Ipaja is good",Positive,free flow,Pako,2023-02-11,19:57:47
"Return journey from Egbeda to connect Lagos Abeokuta express way is good also, like ise Swipha, Agbotikuyo, Oniwaya axis.",Positive,free flow,Lagos Abeokuta,2023-02-11,19:58:28
In and out of Lagos Ibadan expressway from Otedola to Kara and the return journey from Kara back to Otedola is good,Positive,free flow,Lagos Ibadan,2023-02-12,06:28:14
In and out of Lagos Ibadan expressway from Otedola to Kara and the return journey from Kara back to Otedola is good,Positive,free flow,Otedola,2023-02-12,06:28:14
In and out of Lagos Ibadan expressway from Otedola to Kara and the return journey from Kara back to Otedola is good,Positive,free flow,Kara,2023-02-12,06:28:14
In and out of Lagos Ibadan expressway from Otedola to Kara and the return journey from Kara back to Otedola is good,Positive,free flow,Kara,2023-02-12,06:28:14
"Omole inward Ogba, Odoeran is also good aside alternation",Positive,free flow,Omole,2023-02-12,06:28:14
"Omole inward Ogba, Odoeran is also good aside alternation",Positive,free flow,Ogba,2023-02-12,06:28:14
Return journey from Odoeran back to River Valley is good aside alternation. ,Positive,free flow,Odoeran,2023-02-12,06:28:14
Return journey from Odoeran back to River Valley is good aside alternation. ,Positive,free flow,River Valley,2023-02-12,06:28:14
Pako to Unilag Gate and Abule Oja is good. Same applies to the return journey.,Positive,free flow,Pako,2023-02-12,08:08:31
Traffic in and out of Awolowo Way is gd; Traffic in and out of Aromire is gd; Traffic in and out of Allen Avenue is gd; Traffic in and out of Opebi is gd; Traffic in and out of Kudirat Abiola is gd.,Positive,free flow,Awolowo Way,2023-02-12,09:30:23
Traffic in and out of Awolowo Way is gd; Traffic in and out of Aromire is gd; Traffic in and out of Allen Avenue is gd; Traffic in and out of Opebi is gd; Traffic in and out of Kudirat Abiola is gd.,Positive,free flow,Aromire,2023-02-12,09:30:23
Traffic in and out of Awolowo Way is gd; Traffic in and out of Aromire is gd; Traffic in and out of Allen Avenue is gd; Traffic in and out of Opebi is gd; Traffic in and out of Kudirat Abiola is gd.,Positive,free flow,Allen Avenue,2023-02-12,09:30:23
Traffic in and out of Awolowo Way is gd; Traffic in and out of Aromire is gd; Traffic in and out of Allen Avenue is gd; Traffic in and out of Opebi is gd; Traffic in and out of Kudirat Abiola is gd.,Positive,free flow,Opebi,2023-02-12,09:30:23
Traffic in and out of Awolowo Way is gd; Traffic in and out of Aromire is gd; Traffic in and out of Allen Avenue is gd; Traffic in and out of Opebi is gd; Traffic in and out of Kudirat Abiola is gd.,Positive,free flow,Kudirat Abiola,2023-02-12,09:30:23
Traffic in and out of Toyin Street is gd; Traffic in and out of Opebi link Rd is gd,Positive,free flow,Toyin Street,2023-02-12,09:30:27
Traffic in and out of Toyin Street is gd; Traffic in and out of Opebi link Rd is gd,Positive,free flow,Opebi link Rd,2023-02-12,09:30:27
"Vehicular movement on oba Ogunnusi is good aside alternation delay at VIS and Omole. Excellence,Ogba,Odo eran is also good.    ",Positive,free flow,VIS,2023-02-12,09:34:21
"Vehicular movement on oba Ogunnusi is good aside alternation delay at VIS and Omole. Excellence,Ogba,Odo eran is also good.    ",Positive,free flow,Excellence,2023-02-12,09:34:21
"Vehicular movement on oba Ogunnusi is good aside alternation delay at VIS and Omole. Excellence,Ogba,Odo eran is also good.    ",Positive,free flow,Ogba,2023-02-12,09:34:21
The NNPC intersection is accommodating and Mubostic Junction to Canoe area is good,Positive,free flow,Mubostic Junction,2023-02-13,05:17:44
Traffic from Iyana Dopemu inward Cement is good to go.,Positive,free flow,Iyana Dopemu,2023-02-13,05:28:22
Jonathan Coker road is also a slow moving traffic inward Fagba,Negative,heavy traffic,Jonathan Coker road,2023-02-13,05:54:14
Traffic is slow after Alapere towards Ogudu down to Iyana Oworo.,Negative,heavy traffic,Alapere,2023-02-13,06:39:05
Traffic is slow after Alapere towards Ogudu down to Iyana Oworo.,Negative,heavy traffic,Ogudu,2023-02-13,06:39:05
Slow and steady movement on third mainland bridge inward Adeniji down to simpson under bridge,Positive,heavy traffic,third mainland bridge,2023-02-13,08:16:14
Obalende  bridge inward Onikan bridge to connect CMS down to uba is good to go.,Positive,free flow,Obalende,2023-02-13,08:16:15
Slow movement from Ikotun intersection inward Oju-Odo due to commercial activities.,Positive,heavy traffic,Ikotun intersection,2023-02-13,13:19:30
NNPC inward Gate down to Pako is good. Return journey from Pako down to Synagogue is good. ,Positive,free flow,NNPC,2023-02-13,13:19:31
NNPC inward Gate down to Pako is good. Return journey from Pako down to Synagogue is good. ,Positive,free flow,Gate,2023-02-13,13:19:31
A lone accident of a Trailer with a brake failure which rammed into a gutter at Asa-afariogun intersection.,Positive,accident,Asa-afariogun,2023-02-13,17:02:35
Benson inward Ikorordu Roundabout connecting Ojubode and Ladega is busy,Positive,heavy traffic,Benson,2023-02-13,17:07:24
Benson inward Ikorordu Roundabout connecting Ojubode and Ladega is busy,Positive,heavy traffic,Ikorordu Roundabout,2023-02-13,17:07:24
"Busy movement from Marwa towards Ikate, Chisco,",Positive,heavy traffic,Marwa,2023-02-13,17:11:50
"Busy movement from Marwa towards Ikate, Chisco,",Positive,heavy traffic,Ikate,2023-02-13,17:11:50
Adekunle Inw Panti is slow due to traffic light alternation coupled with high influx,Positive,heavy traffic,Adekunle Inw Panti,2023-02-13,18:41:05
"University junction, Yabatech, WAEC is all looking good",Positive,free flow,University junction,2023-02-13,18:41:06
"University junction, Yabatech, WAEC is all looking good",Positive,free flow,Yabatech,2023-02-13,18:41:06
"Capitol road connecting National, Mangoro Ashade is good, same as the return journey",Positive,free flow,Capitol road,2023-02-13,19:03:14
"Capitol road connecting National, Mangoro Ashade is good, same as the return journey",Positive,free flow,National,2023-02-13,19:03:14
"Odo Eran inward Chemiron junction, Metal box road connecting Acme is good",Positive,free flow,Odo Eran,2023-02-13,19:03:17
"Odo Eran inward Chemiron junction, Metal box road connecting Acme is good",Positive,free flow,Chemiron junction,2023-02-13,19:03:17
Good movement on College road in and out Pen cinema Ubridge to Fagba intersection is good in and out,Positive,free flow,College road,2023-02-13,20:45:18
Good  movement along  Marina road from UBA toward Cathedral at this hour,Positive,free flow,UBA,2023-02-14,05:56:13
Broad Street link Apongbon towards olowogbowo is very good,Positive,free flow,Broad Street link Apongbon,2023-02-14,05:58:37
Movement from Otto Wharf inward  UBA is good to go,Positive,free flow,Otto Wharf,2023-02-14,11:09:51
Fagba towards Agege is good,Positive,free flow,Fagba,2023-02-14,14:28:54
Fagba towards Agege is good,Positive,free flow,Agege,2023-02-14,14:28:54
Traffic moves slowly from Iyana Oworo down to Ogudu and also to Alapere filling station due to fuel queue,Negative,heavy traffic,Iyana Oworo,2023-02-14,16:19:18
From Sabo Roundabout to Onimalu enroute Alaka down to Itamaga Intersection is good to go likewise the return journey. ,Positive,free flow,Sabo Roundabout,2023-02-14,17:05:10
From Sabo Roundabout to Onimalu enroute Alaka down to Itamaga Intersection is good to go likewise the return journey. ,Positive,free flow,Onimalu,2023-02-14,17:05:10
From Sabo Roundabout to Onimalu enroute Alaka down to Itamaga Intersection is good to go likewise the return journey. ,Positive,free flow,Alaka,2023-02-14,17:05:10
Traffic is busy now at kudirat abiola way from Ojota to welfare and Ikosi junction. ,Positive,heavy traffic,kudirat abiola way,2023-02-14,17:08:25
Traffic is busy now at kudirat abiola way from Ojota to welfare and Ikosi junction. ,Positive,heavy traffic,Ojota,2023-02-14,17:08:25
Traffic is busy now at kudirat abiola way from Ojota to welfare and Ikosi junction. ,Positive,heavy traffic,welfare,2023-02-14,17:08:25
"A loaded truck has broken down with mechanical fault on Iyanaipaja-Ayobo road, after Kokumo bus stop, inward Moshalasi r/bout",Negative,breakdown,Iyanaipaja-Ayobo road,2023-02-14,19:13:17
An accident involving a container laden truck and a Tanker has occurred on the Alaka bridge inw Eko bridge,Negative,accident,Alaka bridge,2023-02-15,06:05:13
"A truck has broken down at Eleko jnctn inw Epe, taking up a lane.",Negative,breakdown,Eleko jnctn,2023-02-15,06:35:16
"A truck has broken down at Eleko jnctn inw Epe, taking up a lane.",Negative,breakdown,Epe,2023-02-15,06:35:16
"Traffic is gd from Sango inw Ajegunle, Alakuko, Moshalashi, Kola, Casso, Adura, Salolo, Meiran, Ijaiye, Obadeyi thru Ahmadiya and Abule Egba via the bridge and under the bridge.",Positive,free flow,Sango,2023-02-15,06:46:46
"Traffic is gd from Sango inw Ajegunle, Alakuko, Moshalashi, Kola, Casso, Adura, Salolo, Meiran, Ijaiye, Obadeyi thru Ahmadiya and Abule Egba via the bridge and under the bridge.",Positive,free flow,Ajegunle,2023-02-15,06:46:46
"Traffic is gd from Sango inw Ajegunle, Alakuko, Moshalashi, Kola, Casso, Adura, Salolo, Meiran, Ijaiye, Obadeyi thru Ahmadiya and Abule Egba via the bridge and under the bridge.",Positive,free flow,Alakuko,2023-02-15,06:46:46
"Traffic is gd from Sango inw Ajegunle, Alakuko, Moshalashi, Kola, Casso, Adura, Salolo, Meiran, Ijaiye, Obadeyi thru Ahmadiya and Abule Egba via the bridge and under the bridge.",Positive,free flow,"Moshalashi,",2023-02-15,06:46:46
"Traffic is gd from Sango inw Ajegunle, Alakuko, Moshalashi, Kola, Casso, Adura, Salolo, Meiran, Ijaiye, Obadeyi thru Ahmadiya and Abule Egba via the bridge and under the bridge.",Positive,free flow,Kola,2023-02-15,06:46:46
"Traffic is gd from Sango inw Ajegunle, Alakuko, Moshalashi, Kola, Casso, Adura, Salolo, Meiran, Ijaiye, Obadeyi thru Ahmadiya and Abule Egba via the bridge and under the bridge.",Positive,free flow,"Casso,",2023-02-15,06:46:46
"Traffic is still gd inw Katangua, Super, Ile-Epo, Pleasure, Danco and Iyana Ipaja.",Positive,free flow,Katangua,2023-02-15,06:46:48
"Traffic is still gd inw Katangua, Super, Ile-Epo, Pleasure, Danco and Iyana Ipaja.",Positive,free flow,Ile-Epo,2023-02-15,06:46:48
"Moving on thru Araromi, Adealu, Paki and Iyana Dopemu inw Dopemu, Cement, Mangoro, Ile Zik and Ikeja Along is gd.",Positive,free flow,Araromi,2023-02-15,06:46:48
"Moving on thru Araromi, Adealu, Paki and Iyana Dopemu inw Dopemu, Cement, Mangoro, Ile Zik and Ikeja Along is gd.",Positive,free flow,Adealu,2023-02-15,06:46:48
"Moving on thru Araromi, Adealu, Paki and Iyana Dopemu inw Dopemu, Cement, Mangoro, Ile Zik and Ikeja Along is gd.",Positive,free flow,Ile Zik,2023-02-15,06:46:48
"A container laden trailer has broken down at Conoil U-turn inw Igando Phase 1,",Positive,breakdown,Conoil,2023-02-15,07:24:24
"A loaded tanker has broken down at Abule Tailor inw Ijaiye, taking up a lane. ",Negative,breakdown,Abule Tailor,2023-02-15,07:30:44
"Traffic gd from Ajuwon Rd inw Elliot, Rogo Jnctn approaching Ishaga R/Abt.",Positive,free flow,Ajuwon Rd,2023-02-15,07:42:31
"Traffic gd from Ajuwon Rd inw Elliot, Rogo Jnctn approaching Ishaga R/Abt.",Positive,free flow,Elliot,2023-02-15,07:42:31
"Traffic gd from Ajuwon Rd inw Elliot, Rogo Jnctn approaching Ishaga R/Abt.",Positive,free flow,Rogo,2023-02-15,07:42:31
"Traffic gd from Ajuwon Rd inw Elliot, Rogo Jnctn approaching Ishaga R/Abt.",Positive,free flow,Ishaga,2023-02-15,07:42:31
A multiple accident has occurred at Ijaiye inw Abule Egba due to break failure.,Positive,breakdown,Ijaiye,2023-02-15,08:11:37
"A truck has broken down just by Mosley B/Stop on Gerard Rd inw Gerard R/Abt, taking up a lane thereby slowing down traffic",Negative,heavy traffic,Mosley B/Stop,2023-02-15,10:57:33
The earlier reported broken down truck at Ebute Police post intersection has been towed off the road,Negative,breakdown,Ebute Police post,2023-02-15,11:37:12
Ogba is slightly busy due to bstop activities and influx into Thomas Salako,Positive,heavy traffic,Ogba,2023-02-15,16:58:31
"Eleganza down to Etisalat, Mr Biggs to connect Wharf gate is good.  ",Positive,free flow,Eleganza,2023-02-15,17:03:50
"Eleganza down to Etisalat, Mr Biggs to connect Wharf gate is good.  ",Positive,free flow,Etisalat,2023-02-15,17:03:50
"Eleganza down to Etisalat, Mr Biggs to connect Wharf gate is good.  ",Positive,free flow,Mr Biggs,2023-02-15,17:03:50
"Eleganza down to Etisalat, Mr Biggs to connect Wharf gate is good.  ",Positive,free flow,Wharf gate,2023-02-15,17:03:50
Early morning rush out of Apapa through the Marine bridge to connect Iganmu and Ijora is also good to go.  ,Positive,free flow,Apapa,2023-02-16,05:55:38
"For now we are still enjoying free flow of traffic inward and outward of Carter bridge , while traffic from underneath ldumota bridge inward Eyin Eyo connecting Balogun is also street still looking good at this hour.",Positive,free flow,For,2023-02-16,06:00:34
"For now we are still enjoying free flow of traffic inward and outward of Carter bridge , while traffic from underneath ldumota bridge inward Eyin Eyo connecting Balogun is also street still looking good at this hour.",Positive,free flow,Carter bridge,2023-02-16,06:00:34
"For now we are still enjoying free flow of traffic inward and outward of Carter bridge , while traffic from underneath ldumota bridge inward Eyin Eyo connecting Balogun is also street still looking good at this hour.",Positive,free flow,ldumota bridge,2023-02-16,06:00:34
"For now we are still enjoying free flow of traffic inward and outward of Carter bridge , while traffic from underneath ldumota bridge inward Eyin Eyo connecting Balogun is also street still looking good at this hour.",Positive,free flow,Eyin Eyo,2023-02-16,06:00:34
Tinubu connecting Nnamdi Azikiwe street enroute Tom Jones intersection is equally good to go for now,Positive,free flow,Tinubu,2023-02-16,06:00:35
The return journey from Marwa back to Ajah is also good to go.,Positive,free flow,Marwa,2023-02-16,06:05:19
Evacuation is presently ongoing at the earlier reported accident scene at Igboefon,Positive,breakdown,Evacuation,2023-02-16,08:31:53
Movement from Odo Ogun down to Mile 12 is good to go.,Positive,free flow,Odo Ogun,2023-02-16,09:18:38
