pub_date,headline,article
17th May 2020,"Gunmen attack Benue communities, kidnap three","John Charles, Makurdi
Gunmen have kidnapped three persons in Benue State, The PUNCH reports.
According to an eyewitness, the gunmen on Saturday kidnapped the Head of Department for Health and Human Services, Ado Local Government Area, Charles Ogaba, and his son, Otokpa Ogaba.
In another attack in Makurdi, the capital city, the kidnappers allegedly took captive the Managing Director, EmchHoney Global Ltd, Emmanuel Nwankwo.
 
“The HOD in Ado Local Government Area was in his car with his son when they ran into them (suspected kidnappers) at Iro.  Related News   UPDATED: Police investigating Rivers Assembly candidate's abduction - Spokesperson  Kidnapped Ogun journalist rescued in Lagos after gun battle  Herders killed 5,138 people during Ortom administration, SEMA alleges   
“Since this happened yesterday (Saturday) evening, no one has heard from them,” the eyewitness said.
The state Police Public Relations Officer, Catherine Anene, who confirmed the abduction of Nwankwo, said the command had commenced an investigation into the matter.      
“The MD EmchHoney Global Ltd, Chief Emmanuel Nwankwo, was kidnapped at about 8:30pm on Saturday at Iyorkakor Street, High-level area of Makurdi. No arrest has been made yet and his abductors have not made any demand.
She, however, said she was yet to receive any report of the kidnap of Ogaba and his son."
17th May 2020,Suspected Fulani herdsmen kidnap Enugu woman,"RAPHAEL EDE
Gunmen suspected to be Fulani herdsmen on Saturday kidnapped a woman, Mrs Muna Ezeudu, popularly called ‘Mama Enugu’ by locals.
A relation of Ezeudu, Mrs Nwanneka Agbo, told Sunday PUNCH that Ezeudu was kidnapped at her residence in Eziam Nike, Enugu East Local Government Area of the state in the early hours of Saturday.
Agbo claimed that the kidnappers were Fulani herdsmen.
 
She said, “My sister sent us a text message that read, ‘Herdsmen kidnapped us and kept us at Eziam Nike Forest Hills.’”
Our correspondent learnt that Ezeudu’s abduction happened barely a week after another woman, one Mrs Eneh from Eziam Nike community, was kidnapped and released after parting with some money as a ransom.  Related News   
A security source said Eziam Nike had become a hotbed of kidnapping in the state recently.      
“The Abakpa Divisional Police Officer, SP Azubuike Fred, led a squad to track the kidnappers at their hideout,” the source said.
Efforts to get the reaction of the state Police Public Relations Officer, ASP Daniel Ndukwe, failed as he neither picked calls nor replied to the text message sent to his phone.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
17th May 2020,"Gunmen kill UNIJOS lecturer, kidnap daughter, demand N10m ransom","JAMES ABRAHAM
Unidentified gunmen have attacked the University of Jos Staff Quarters located along Bauchi Road in Jos, Plateau State capital, and shot dead a lecturer identified as Dr Nendi Drengkat.
It was learnt that the gunmen also kidnapped his six-year-old daughter during the incident which occurred on Friday night.
The Chairman of the institution’s chapter of the Academic Staff Union of Universities, Dr Lazarus Maigoro, confirmed the incident to our correspondent on Saturday.
 
He said, “Yes, the information is true. I just returned from the University of Jos Staff Quarters where the attack took place.
“Some gunmen went there last night (Friday) and shot dead one of our colleagues from the Faculty of Education, Dr Nendi Drengkat.
“They also went away with his daughter of about six years old and demanding a N10m ransom.      
“We don’t know whether it is a case of assassination or kidnap but the police and other security men, including the state commissioner of police, have visited the staff quarters and they said they would investigate the matter. We are waiting to see the outcome of their investigation. The incident is really unfortunate.”  Related News   
READ ALSO: Police hunt for killers of General Opaleye’s son
The spokesman for the state police command, ASP Ubah Ogaba, also confirmed the incident.
He stated that the commissioner of police visited the scene of the attack, adding that a team of detectives detailed to investigative the incident had made a ‘huge’ success.
Ogaba said, “When the commissioner of police visited the staff quarters this morning (Saturday), he instructed the DPO (Divisional Police Officer) in charge of the area to carry out a discreet investigation into the killing of the lecturer and the abduction of his daughter.
“The detectives assigned to the task immediately swung into action and combed the entire area. From what I have been told, they have made some arrests and the details of their investigation will be made known to the public soon.”
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.         
Contact: [email protected]"
17th May 2020,Four construction workers kidnapped in Niger,"ENYIOHA OPARA
Four construction workers have been abducted at Erena in the Shiroro Local Government Area of Niger State.
It was learnt on Saturday that an assistant chief technical officer and three others were seized by the abductors on May 5 at about 11am.
The abducted workers were reportedly working on the construction of the 65km Zumba-Erena Road, a project being undertaken by the state government when the incident occurred.
 
Hoodlums said to be about 60 earlier blocked the entry routes to the community with motorcycles to prevent the residents from escaping while carrying out the act.
An eyewitness said the villagers, on hearing that the bandits had taken over their community, trekked some distance through the bush to escape.
Some of them were said to be seeking refuge in one of the Internally Displaced Persons’ camps in Zumba primary school.        Related News   Ondo monarchs demand more policemen as three construction workers kidnapped   
The Permanent Secretary, state Ministry of Works, Abubakar Sadiq, confirmed the abduction of construction workers, saying, “We are on top of the situation.”
Asked if the kidnappers had demanded any ransom, he said, “This is not an issue to discuss on the phone. We are handling the matter.”
The spokesperson for the state police command, Wasiu Abiodun, also confirmed the incident, adding that a team of policemen had been deployed in the area to fish out the bandits.
He said the command would not allow bandits to take over the state.
Abiodun said, “They are treading in a lion’s zone and we must surely get them.”
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
16th May 2020,"Gunmen kill UNIJOS lecturer, kidnap six-year-old daughter","James Abraham, Jos
Gunmen attacked the University of Jos Staff Quarters on Friday night and shot dead a lecturer identified as Dr Nendi Drengkat.
It was learnt that the gunmen also kidnapped Drengkat’s six-year-old daughter in the attack.
Chairman of the institution’s branch of the Academic Staff Union of Universities, Dr Lazarus Maigoro, confirmed the incident to The PUNCH in Jos on Saturday.
 
The ASUU Chairman said, “I have just returned from the University of Jos Staff Quarters where the attack took place.  Related News   Gunmen allegedly attack Delta PDP gov candidate’s convoy  Gunmen kill 400-level UNIBEN student  Anger as gunmen kill 35 in Katsina, Kaduna   
“Some gunmen went there last night and shot dead one of our colleagues of the Faculty of Education, Dr Nendi Drengkat.
“The gunmen also went away with his little daughter of about six years and are now asking for N10 million ransom.      
“The State Commissioner of Police has visited the staff quarters and he said he would investigate the matter. The incident is really very unfortunate.”
Details later…"
15th May 2020,"Gunmen kidnap APC vice-chair, daughter in Kaduna","Godwin Isenyo, Kaduna
Gunmen suspected to be kidnappers have abducted the Vice-Chairman of the All Progressives Congress in Kaduna State, Alhaji Shu’abu Lauje, and his daughter.
Our correspondent gathered that Lauje and his daughter were abducted at about 1.30 am on Thursday.
According to a source, the kidnappers stormed the home of the APC chieftain located on Kwanar Zango along the Zaria-Kaduna expressway and carried out the dastardly act.
 
“The APC chieftain was taken away alongside his daughter. The incident took place at about 1:30am in the early hours of today (Thursday) at his Zaria road residence along the Zaria – Kaduna expressway,” the source said.
The kidnappers have yet to contact the family to demand for ransom, according to the source.
The Kaduna State Police Command confirmed the incident.      
The Command’s Public Relations Officer, ASP Mohammed Jalige, said efforts were in top gear to rescue the APC chieftain and his daughter whom he gave her name as Sadiya Shu’abu.  Related News   
“Yes, the Vice-Chairman of the All Progressives Congress in Kaduna State, Shu’aibu Idris Lauje and his daughter, Sadiya Shu’aibu, were kidnapped in the early hours of today (Thursday).
“Efforts are in top gear towards apprehending the culprits and rescue of the victims,” the police spokesman said.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
13th May 2020,"Gunmen kidnap Army Captain, three others in Ondo","Peter Dada, Akure
Gunmen on Tuesday kidnapped four people along Kabba-Auga Akoko Expressway in Akoko North-East Local Government Area of Ondo State.
One of the victims, an officer in the Nigeria Army, identified as Captain D. Gana and the three others were said to be coming from Abuja when the incident happened.
According to a source, the hoodlums stopped the vehicle conveying the victims, on the expressway and dragged them into the bush to an unknown destination.
 
The source explained further that the hoodlums did not pick any item belonging to the victims from the vehicle but left the doors of the vehicle open after taking the victims away.
It was however gathered that the abductors had contacted the families of the victims, demanding N20m for the release of the four victims.
A police source said, immediately the police at Ikare Akoko Division, got the information, they swung into action and deployed policemen from the division in the area. They were said to have met only the abandoned vehicle.        Related News   
It was learnt that men of the 32 Artillery Brigade of the Nigerian Army, Akure, also mobilised to the area to comb the bush with a view to rescuing the victims and apprehend the culprits.
When contacted,  the Ondo State Police Public Relations Officer, Mr. Tee-Leo Ikoro confirmed that the incident happened along Auga/Akunnu Road on Tuesday
READ ALSO: What you should know about new CoS, Ibrahim Gambari
He explained that the command had been briefed while the State Commissioner of Police, Mr Undie Adie,  had ordered officers and men of the command to begin the search of the forest.
The PPRO said, “We have begun an intensive investigation into the incident and we want to enjoin anybody with useful information that could lead to the arrest of the criminals to forward the same to the police for onward action.”
Also, the Public Relations Officer of the 32 Artillery Brigade of the Army, Akure, Captain Ayorinde Omojokun said, “We are still on the matter.”"
10th May 2020,"Gunmen kidnap Zamfara varsity lecturer, demand N5m","Maiharaji Altine
A lecturer with the Federal University Gusau, Zamfara State, Sadiya Talata-Mafara, has reportedly been abducted by suspected gunmen.
Talata-Mafara, who is a nursing mother, was abducted in her residence at Samaru, Gusau.
A family member who spoke to our correspondent on condition of anonymity said the kidnappers initially demanded N10m as ransom before the lecturer could be released.
 
A family source told Sunday PUNCH that they offered to pay N2m to the kidnappers but the money was rejected.
“The kidnappers insisted that they would not accept anything below N10m. They are demanding N10m and we offered them N2m which they rejected,” said the source.
The source, however, said the family negotiated the ransom to N5m, which the kidnappers had agreed to.        Related News   
“But we are struggling to get the money for the lecturer’s release. The kidnappers made her abandon her little daughter at home,” the source said.
READ ALSO: Suspected robbers attack Imo pastor, steal $5,000, SUV, phone
Speaking to our correspondent on the issue, the spokesperson for the Federal University Gusau, Mallam Umar Usman, said the school authorities were sad over the incident.
He added that the university was looking for ways to ensure the release of the lecturer.
Efforts to speak with the state police spokesperson, Mohammed Shehu, were unsuccessful as his phone indicated that it was switched off.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
6th May 2020,"Gunmen kidnap 15, kill one in Kaduna communities","Godwin Isenyo, Kaduna
Gunmen, suspected to be kidnappers, invaded three communities, Kuriga, Komo and the Millennium City, all in the Chikun Local Government Area of Kaduna State on Monday.
 In the three separate attacks, 15 persons including a village head were abducted while a security guard was feared killed.
 The Kuriga and Komo Communities attacks took place in the early hours of Monday while the Millennium City  was attacked about 10:00pm, a source told our correspondent.
 
 Meanwhile, it was gathered that the Kaduna State Commissioner for Internal Security and Home Affairs, Mr Samuel Aruwan, visited the scene of the crime at the Millennium City on Tuesday morning.
 The gunmen, according to a source, abducted 12 persons in separate attacks in three communities.
 Our correspondent learnt the gunmen first attacked Manini village in Kuriga District of Chikun LG, breaking into shops and carting away foodstuffs and other valuables.        Related News   Gunmen abduct inspector, eight others in Kaduna  ICYMI: Gunmen kill five football fans in Kaduna attack   
 The source, who spoke with our correspondent on condition of anonymity,
said the bandits had yet to call the families of the kidnapped persons.
 The Kaduna State Police Command had yet to confirm the three incidents. The Command’s Public Relations Officers, Mohammed Jalige could not be reached.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
5th May 2020,"Gunmen kidnap banker, ex-council boss’ spouse in Benue","John Charles, Makurdi
Gunmen suspected to be kidnappers on Sunday night abducted a banker, Prince Ochoga Agbese,  at Apa Agila in the Ado Local Government Area of Benue State.
A source who did not want to be mentioned in print told our correspondent on the telephone that the suspected kidnappers stormed the residence of the banker around 7.00pm on Sunday and abducted him.
According to the source, the kidnapped banker works in one of the new generation banks in  Minna, Niger State capital and had come home due to the lockdown before the suspects whisked him away.
 
It was also gathered that some suspected kidnappers had penultimate Sunday kidnapped the husband of the elected chairman of the local government but was later released after N.9m (nine hundred thousand naira) was paid as ransom.
The source said, “Ado Local Government had become a den of kidnappers in the past few months.
“On Sunday, 25th of April, 2020, a pastor,  Samuel Agbo Unogwu, husband of the former chairman of Ado LGs, Blessing Unogwu, was kidnapped.      
“The suspected kidnappers who were armed with sophisticated weapons, stormed his house at about 7pm and kidnapped him.
“Although the man of God had been released after ransom was paid,” the source said.  Related News   
A community leader and one-time chairman of the local government, Otse Otokpa, who lamented the rising rate of kidnapping in the council, confirmed the kidnap of the two persons in the area.
“The council chairman should, as a matter of urgency, call Ado stakeholders meeting to address the issue and possibly delegate some people to see the governor,” Otokpa advised.
The acting chairman of the local government, Honorable Abel Onazi, who also confirmed the kidnap of the two people, decried the high rate of kidnapping in the council area.
When asked of the amount paid as ransom, the acting chairman said the family of the former elected chairman paid the sum of N.9m as ransom before the pastor could be released.
Onazi said, “There is high rate of kidnapping in the local government, just two Sundays ago, the husband of the former elected chairman of the local government was kidnapped, though had been released.        
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
29th April 2020,"Gunmen kill driver, kidnap friend in Ondo","Peter Dada, Akure
Some unknown gunmen on Tuesday attacked and killed a popular truck driver, Ojo Emmanuel, at Omi-Alafa area of Ifon in the Ose Local Government Area of Ondo State.
Another driver, Mr Jelili Ajanaku, was also abducted by the gunmen at the same point early on Tuesday.
It was gathered that the same gang of bandits that committed the dastardly act had been terrorising the LGA in recent time.
 
A source said the driver popularly known as Destiny, was killed while his friend Ajanaku was kidnapped while they were loading sand into their trucks.
The source said, “The two men are truck drivers. They deal in sand business. That was what they were doing early in the morning today ( Tuesday) when the hoodlums attacked them. They shot Ojo while Ajanaku was whisked away.”  Related News   
READ ALSO: Four nabbed for hijacking cement-laden truck      
The source, however, said Ajanaku managed to escape from the kidnappers’ den, adding that he was receiving treatment at an undisclosed hospital in the area.
When contacted, the state Police Public Relations Officer, Mr Tee-Leo Ikoro, confirmed the incident.
He said, “Immediately the CP got the information, he quickly sent our men there. So we are after the bandits and they will soon be arrested.”
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
27th April 2020,"Gunmen kill Ekiti councillor, kidnap commissioner, other","Abiodun Nejo, Ado Ekiti
Herdsmen struck on Sunday evening along Isan Ekiti-Iludun Ekiti Road, killed a councillor with Ilejemeje council area and kidnapped the Ekiti State Commissioner for Agriculture, Mr Folorunso Olabode, and another person.
The commissioner and two others were traveling in the same car along the road when the incident happened.
A source said the herdsmen accosted their victims at a bad spot along the road.
 
The Ekiti State Government confirmed the commissioner’s abduction and shooting of the councilor, promising to ensure the release of those abducted.
A statement by the Commissioner for Information, Mr Muyiwa Olumilua, stated, “We hereby confirm the abduction of the Commissioner for Agriculture, Chief Olabode, by suspected bandits.  Related News   
“From initial reports, the kidnappers shot one person in his entourage, the driver of the vehicle in the ensuing fracas.      
“Governor Kayode Fayemi has mandated the security agencies in the state to ensure the prompt and safe release, while assuring residents that adequate measures are ongoing, to maintain the peace and security of the state.”
The Police Public Relations Officer, Ekiti State Police Command, Sunday Abutu, confirmed the incident.
Abutu said, “Three persons were in the commissioner’s car when they were attacked. One person died on the spot and the other two, including the commissioner, were kidnapped.”
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH."
23rd April 2020,"Bandits kidnap pregnant woman, five others in FCT","Adelani Adepegba, Abuja 
Residents of three communities in Bwari Area Council of the Federal Capital Territory are currently living in fear following the invasion of the areas by bandits allegedly from Zamfara State.
 Our correspondent gathered that the bandits have been terrorizing Shere Koro, Igu and Kuwa villages in the past weeks.
 They are reportedly holding six persons hostage, including a pregnant woman who was abducted on Tuesday.
 
 The woman was going for antenatal care in company of her husband when she was kidnapped while her hubby, Mr Abdulganiyu Salaudeen, was attacked with machete.
 They also stole his phone and automated teller machine cards; Mrs Salauden had yet to be rescued.
 An aide to the FCT Senator Philip Aduda identified as Alhaji Danjuma Kawu was also attacked at his home and robbed.        Related News   
 Kawu confirmed the attack on his residence but declined to give details.
 The criminals were also said to have attacked a couple who were fetching firewood on their farm and raped the wife while the husband managed to escape. The woman was later released.
 A source said the police had arrested three suspects, including the spiritualist to the bandits identified as Alfa Dauda, an informant, Jigo, and his younger brother.
 Speaking to our correspondent on Wednesday, a Shere Koro community leader, Alhaji Bala, disclosed that those arrested had been taken to the Special Anti-Robbery Squad in Guzape, Abuja, for investigation.
 The FCT police spokesman, DSP Anjuguri Manzah, said the police were working to apprehend the criminals.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
19th April 2020,"Gunmen kidnap Edo commissioner, kill orderly","SOLA SHITTU
Edo State Commissioner for Science and Technology, Mr Emmanuel Agbale, has been reportedly kidnapped by gunmen who also killed his orderly.
The incident occurred on Friday along Benin-Ekpoma Road by Oil Palm Estate in Edo State.
The commissioner was on his way to Ekpoma when the gunmen reportedly opened fire on his vehicle.
 
It was learnt that the heavily armed men suddenly emerged from the bush and shot directly at Agbale’s car which forced the driver to stop.
“The police orderly was killed on the spot while the commissioner was whisked away,” a source told Sunday PUNCH.
The state Commissioner of Police, Lawan Jimeta, who confirmed the incident, described it as unfortunate.      
Jimeta however said his men were already on the trail of the kidnappers in the forest, promising that they would be arrested.
The Academic Staff Union of Universities, Ambrose Alli University chapter and the former Deputy Governor of the state, Dr Pius Odubu, condemned the kidnap of Agbale.
Odubu, while condemning the incident, bemoaned the increasing wave of criminal activities in various parts of the state.
He recalled that some criminals were last week reported to have murdered some farmers in Odighi community, Ovia North East Local Government Area of the state.  Related News   
The ex-deputy governor lamented that the incidents happened at a time the people of the state were trying to stay safe from the coronavirus pandemic, calling for concerted efforts by security agencies and government to curb crime.
He said, “I want to draw the attention of the Inspector-General of Police, Director General of the Department of State Services and the army to pay special attention to Edo State. The state government should invest more in protecting lives and property.’’
Odubu enjoined the security agencies to fish out the perpetrators with a view to bringing them to justice.        
He added, “No efforts should be spared in getting the commissioner released from captivity as the people of the state are now in perpetual fear in the midst of insecurity.
READ ALSO: Protesters burn patrol vans, barracks as drunken policeman kills resident
“The state must not pay lip service to security as the primary purpose of government is the security of lives and property. I condemn the incessant killings of farmers and other persons and the rising wave of kidnapping in our dear state.”
ASUU Chairman, AAU Chapter, Dr Monday Igbafen, in a statement on Saturday, said the union received with shock the news of Agbale’s kidnap.
“Our union decried the porous security situation in the country and urged the appropriate security agencies in the state to ensure his release unhurt without delay, while those involved should be fished out and prosecuted.
“The union also expressed its heartfelt condolences to the family of the killed police orderly,” Igbafen added.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.      
Contact: [email protected]"
19th April 2020,Suspected herdsmen kidnap  Anglican priest in Delta,"MATTHEW OCHEI
An Anglican priest, Revd Anthony Oyi, has been kidnapped by suspected Fulani herders on his farm at Issele-Mkpitime, Aniocha North Local Government Area of Delta State.
Sunday PUNCH gathered that the priest, who hails from Issele-Mkpitime, had gone with his family to the farm where he was kidnapped on Saturday morning alongside.
The reverend’s wife, children and a man, who accompanied them, were also said to have been abducted.
 
But the abductors released the wife and children after three hours, asking her to go look for money to pay ransom for her husband’s release.
It was learnt that a vigilance group in Issele-Uku and Issele-Mkpitime had been alerted and a search party dispatched into the bush to rescue the victims.  Related News   Tension as suspected herdsmen invade Delta community, kill three farmers  50 feared killed as suspected herdsmen invade Benue communities  Ondo communities lament herdsmen invasion   
READ ALSO: Monarch, councillor arrested over murder of missing naval officer      
The Police Public Relations Officer in the state, DSP Onome Onovwakpoyeya, confirmed the kidnap, adding that the police had waded into the incident. He said police had started combing the bush to rescue them.
He stated, “Yes, the command has been alerted and we immediately sent officers to comb the bush. Our men are already in the bush to rescue the victims.”
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
18th April 2020,"Lockdown: Gunmen kill poly student, kidnap couple in Kaduna","Godwin Isenyo, Kaduna 
Some gunmen in the early hours of Friday invaded Gbagyi Villa in the Chikun Local Government Area of Kaduna State, killing a polytechnic student and kidnapping two others.
The incident took place between 1am and 2am, an eyewitness said, adding that those abducted by the hoodlums were a couple.
The latest attack is coming as the state is on lockdown aimed at curtailing the spread of coronavirus pandemic in the state.  The eyewitness, who spoke on condition of anonymity, said the residents alerted the police when the incident occurred.
 
“When the police arrived at the scene, they got another distressed call from a nearby community and left immediately,” he said.
It was also gathered that a National Diploma student in Zamfara State, who came out on hearing the cry of the couple, was shot dead by the gunmen.
Chairman of the Vigilance Group in Gbagyi Villa, Emmanuel Martins, confirmed the incident, describing it as disturbing and unfortunate.        Related News   
READ ALSO: Zaria cleric sacked for obeying lockdown directive
The Chairman Gbagyi Villa Property Owners Association, Mr Chris Obodumu, appealed to the government to beef up security around communities in the state.
He said, “The gunmen in large numbers broke into the home of the couple, Mr and Mrs Jack Uwenke and abducted them. They left their children crying.”
“A National Diploma student at Kaura Namoda Polytechnic, Gusau, Zamfara State, Stephen Sebastin, who was a neighbour to the abducted couple, came out on hearing noises to help but was shot dead in the process.”
The Police Public Relations Officer in the state, ASP Mohammed Jalige, did not pick our correspondent’s calls to his mobile and had yet to reply to a text message on the incident as of press time.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
10th April 2020,"Highway bandits kidnap 16, kill driver in Kaduna","Godwin Isenyo, Kaduna 
Despite the lockdown by the Kaduna State Government to curtail the spread of COVID-19, some bandits, suspected to be kidnappers, struck along the Kaduna-Birnin-Gwari highway, kidnapping no fewer than 16 persons.
The bandits, our correspondent gathered, struck along the Kaduna-Birnin-Gwari road and kidnapped family members being conveyed to Birnin Gwari for the burial of their breadwinner.
The incident, a source said, took place on Wednesday.
 
The Birnin Gwari road connects the state with Niger and Zamfara  states.
The driver of the vehicle was shot dead on the spot.
The remains of the driver were later evacuated by the military and the police on joint operations in the area, our correspondent gathered.      
According to the source, no fewer than five occupants of the vehicle were taken away by the bandits into the bush.  Related News   
The occupants of the vehicle included a woman, three of her children and one other person.
The source claimed the bandits stormed a nearby village where they took away about four villagers and stole cows as well as other animals.
He said, “Between Tuesday night and Wednesday, no fewer than 16 persons were abducted along the road, including those going for burial at Birnin Gwari.
“It has become a daily affair, though it has reduced because the military had stepped up operations in the area.
“From Uduwa to this place, the presence of the military is scaring them. The bandits usually carry out their operations early in the morning and by 9.00am, they are done. And also from 6.00pm when they know that the military men have left, they strike and operate into the night and the early hours of the day.”
Meanwhile, the Kaduna State Police Command’s Public Relations Officer, ASP Mohammed Jalige, told journalists that he had yet to receive briefing from the Divisional Police Officer of the area where the incident took place.        
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH."
6th April 2020,Gunmen kidnap Imo businessman,"Chidiebube Okeoma, Owerri
There was panic in Anara in the Isiala Mbano Local Government Area of Imo State as gunmen on Saturday kidnapped a businessman simply identified as Akunaebuaju.
An indigene of the community, who spoke to our correspondent on Sunday, said the community had been thrown into confusion following the abduction.
The kidnap of the businessman came just three weeks after two other persons were abducted in the community and made to pay undisclosed amounts as ransom to regain their freedom.
 
 Related News   
Earlier, on January 20, another businessman, Ugochukwu Oguine, was shot dead while driving in his Lexus vehicle along the Owerri/ Okigwe Road in the community.
 The police spokesperson in the state, Orlando Ikeokwu, told our correspondent that the police were aware of the abduction.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.       
Contact: [email protected]"
31st March 2020,Two Chinese kidnapped in Ebonyi,"Edward Nnachi, Abakaliki
Gunmen, on Monday, kidnapped two Chinese working in Ebonyi State.
The incident, PUNCH Metro gathered, occurred in the Ishiagu community, Ivo Local Government Area of the state.
Investigation revealed that the two Chinese men were working for a mining company in the area.
 
It was gathered that the Ishiagu community had the largest deposits of solid minerals in the state.
The identities of the expatriates and the reason why they were kidnapped had yet to be ascertained as of the time of filing this report.  Related News   
The Ebonyi State Police Command confirmed the incident.      
The Commissioner for Police in the state, Mr Awosola Awotinde, said the command was trailing the kidnappers.
“The police are trailing the kidnappers with a view to rescuing the victims and arresting the hoodlums,” he stated.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
26th March 2020,Gunmen kidnap Delta man after forcing wife to cook jollof rice,"Matthew Ochei, Asaba
Gunmen suspected to be Fulani herdsmen have reportedly kidnapped a man simply identified as Mr Joseph after allegedly forcing his wife to cook jollof rice for them in Okpanam, Oshimili North Local Government Area of Delta State.
PUNCH Metro gathered that the hoodlums, who struck at the Graceland Estate in Okpanam during a heavy downpour on Monday, attacked the couple’s apartment and whisked away the husband after eating the rice.
The wife, simply identified as Mrs Joseph, said the abductors came through the window and pointed a gun at her husband and ordered him to open the door.
 
She stated, “We were in the house when we heard some noise from the window. They told my husband to open the window. When the window was opened, they pointed a gun at my husband and asked him to open the door.
“They brought my husband out in the rain and asked him to lie down and they took me inside and asked me to prepare rice for them, which I did. They took all my husband’s shoes, clothes, phones, ATM cards and all my jewellery.
“After preparing the jollof rice, they ordered me to dish it into a flask, which they took away with my husband to an unknown destination.      
READ ALSO: Lagos to discontinue 566 cases being prosecuted by police  Related News   
“I put a call through to the Divisional Police Officer of Okpanam, but the DPO said that he could not come as it was late.”
The woman noted that the persons, who attacked her family, were herders as they spoke in a language that sounded like Fulfulde.
The Police Public Relations Officer in the state, DSP Onome Onovwakpoyeya, confirmed the incident on Wednesday and said the command was making efforts to rescue the victim.
“The DPO, Okpanam, has confirmed the incident. But another man, who was kidnapped on Saturday in the area, was rescued on the same day,” she said.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
26th March 2020,Gunmen kidnap Bauchi gov’s elder brother,"Armstrong Bakam, Bauchi
Yaya Adamu,  elder brother of Bauchi State Governor Bala Mohammed, has been kidnapped.
The PUNCH learnt  that he was kidnapped around  7.30pm on Wednesday at Ungwan Jaki in Bauchi metropolis by  gunmen.
This is coming about 72 hours after the governor went into self-isolation following his contact with a person that tested positive for coronavirus.
 
 Related News   
Mohammed  was later confirmed positive for the coronavirus on Tuesday by the Nigeria Centre  for Disease Control.
The Senior Special Assistant to the Governor on Media, Mukhtar Gidado, confirmed the incident to The PUNCH on the telephone about 9.30pm.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.      
Contact: [email protected]"
25th March 2020,Bauchi gov's elder brother kidnapped,"Armstrong Bakam, Bauchi"
