Pidgin Tweets,Sentiment
": di mayor of right or wrong - over to you while president dey apologise for di attacks on foregners, di mayor of say im no get any apology.",negative
everi day for di tiff one day for di owner' port harcourt hotel killing: police gbab man wey wan strangle one woman wit towel,negative
update : how school fire kill many pikins for dis w/africa kontri.,negative
"school fire don kill many children, don send sorry message to di families",negative
woman wey bail r kelly say she want her money back,negative
"over 50 women groups dey do one peace waka to protest di serial killings wey dey happun for port harcourt, south south nigeria. full tori dey hia",negative
netanyahu and im rival gantz dey follow each oda bumper to bumper for israel election,negative
over 50 women groups go enta road to protest port harcourt hotel killing,negative
"andela sack ova 400 junior engineers for , and",negative
"ghana cid boss for chop sack now, ghanaians bore ‘incompetent’ cop tiwaa addo-danquah",negative
port harcourt hotel killing: police tell dis afternoon say dem arrest two pipo and say di tori of two more girls deaths na fake news,negative
cameroon video killing: military court adjourn case again afta seven soldiers show up,negative
ghana police confirm say kidnapped takoradi girls die,negative
bad dream make woman swallow her engagement ring,negative
lupita nyong'o to act igbo woman for americanah feem provoke pipo,negative
everi girl need to be careful because dem neva catch dis guys'.,negative
transport fares for ghana shoot up by 10% starting today,negative
university of maiduguri students hear gunshots and blasts,negative
khafi don waka,negative
nysc deny tori say dem post corpers to serve for church,negative
change channel to bbc pidgin for facebook as bbnaija pepperdem housemate venita dey di house! bbc pidgin gist ontop bbnaija live by 10:25am!,negative
"police gbab suspects wey tiff 1000 cows, kill owner for kano.",negative
"jarrid wilson, pastor and mental health advocate don kill imself",negative
ghana military/police team arrest 354 'criminals',negative
mugabe burial dey cause katakata between im family and goment,negative
"22,000 pipo dey miss for north east sake of boko haram - icrc",negative
vat to 7.2%: how nigerians dey react to new value added tax,negative
nigerians from south africa tok wetin dem carri eye see,negative
"sarkin waka arrest: ""at first dem no tell am say dem go keep am, dem just say dem wan carry am go for questioning""",negative
internal displacement monitoring centre say 22 million pipo go be idps before 2019 finish,negative
how some nigerians dey hustle for sa before tins turn dis na one of di nigerian returnees from south africa,negative
nigeria get liver to quarrel wit south africa,negative
election tribunal dismiss atiku petition say e nor fit prove im case,negative
buhari fail to convince tribunal say atiku from cameoon,negative
buhari fail to convince tribunal say atiku from cameroon.,negative
buhari fail to convince tribunal say atiku from cameoon.,negative
"tribunal say inec application against atiku, pdp no make sense",negative
teenager for zamfara set fire for body say her parents no gree her marry for love,negative
na only zakzaky shia followers get ban for ashura day procession,negative
"police charge couple wey spend mistake credit alert of $120,000 (43.3 million naira)",negative
president sign law wey ban vigilantes wit up to 15 years jail term as penalty,negative
"sisiku ayuk tabe, odas don pay fcfa five million for continue process for turn life prison",negative
my biggest regret na say i no fit read or write my name',negative
rivers lawmakers protest for goment to fix eleme-akpajo bridge,negative
anglophone crisis: kumba tight for middle local authorities and separatists,negative
why be say goment dey struggle to meet dem target for tax for nigeria?,negative
over 600 nigerians for south africa say dem wan return nigeria over di xenophobic attacks,negative
total losses afta two days strike = £100 million,negative
xenophobia: nigeria goment neva take plenti steps ontop di attacks - eert,negative
economy worse now pass former president mugabe time?,negative
ncdc confam four cases of yellow fever for bauchi state,negative
money to buy food don high for your side? dis traders dey beg gofment to do sometin about di increase in price of food items wey happen since gofment close di seme border. president buhari say di closure go reduce smuggling.,negative
vegan and vegetarian diets fit increase stroke risk,negative
president akufo-addo give john mahama ‘unlooking’ handshake start debate for social media,negative
zimbabwe former president robert mugabe don die at di age of 95,negative
south africa don close dia embassy for nigeria temporarily,negative
former first lady of honduras go face 58 years in jail,negative
"""my son regret im action""- abdulmutallab papa see di full video hia",negative
mtn don close shop,negative
zambia protests wey target s/africa bizness force malls to close,negative
nigeria don pull out of world economic forum for s/africa,negative
twitter carri madam oby mata for head as she attend event for s/africa,negative
nigeria don recall dia high commissioner to s/africa,negative
separatists' kidnap bonakanda community radio animator,negative
which one be here or back home? dem born her for di abroad,negative
17 year old boy 'blind' sake of im dey chop only chips and white bread,negative
breaking tori: police fire teargas give protesters for abuja wey wan burn down shoprite,negative
cameroon opposition leader maurice kamto and odas give condition for appear for military court,negative
south africa high commissioner to nigeria deny,negative
america warn e kontri pipo say security situation for cameroon no fain sake of di anglophone crisis.,negative
"""attacks against nigerians for south africa fit destroy african brotherhood""",negative
"""six months afta police kill my husband we never get justice"" - victim",negative
nigeria tell south africa say 'enough is enough',negative
"gunshots, ghost town as schools open for cameroon",negative
"""nigeria make aliko dangote, but ghana gov’t dey destroy local businessmen"" – archbishop duncan-williams",negative
"hurricane dorian, di category five monster storm don hit bahamas",negative
kevin hart don injure for car accident,negative
new report say lovers wey go kill dia partners dey follow eight steps,negative
mikel obi girlfriend olga para for world pipo wey happy for dia 'breakup',negative
123 men we arrest inside truck with okada from jigawa no be terrorists - lagos police,negative
america say dia new do-me-i-do-you fee for nigerians wey want dia visa go still remain for now,negative
"jaguda pipo kill, burn reverend father for taraba",negative
"if dem share money wey nigeria dey owe for all of us. see your own portion. if dem come tok say make we all join hand pay, you go pay? 🤔",negative
sabi pipo say di mass child sacrifice dem dsicover for peru fit be di biggest in history.,negative
america deport harvard new student from airport because of im 'friend facebook post',negative
"lagos state assembly say dem no give ambode approval to buy dis buses, how una see di mata?",negative
court adjourn case of cameroon soldiers for 'killing video',negative
heavy rains dey open graves for kano cemeteries,negative
some pipo still di miss afta ship accident for bakassi wata as deh as deh komot nigeria for go tiko for cameroon.,negative
america say nigeria citizens go pay reciprocity fee for visa dem approve,negative
nigeria fail to assist victims of human trafficking',negative
cameroon army di search for die bodi afta ship capsize for bakassi,negative
nigeria carry last for jollof competition as ghana win,negative
"helicopter jam plane for mallorca, kill seven pipo",negative
"‘amba fighter’ use your head check school mata, military stay far from school' - bishops",negative
"police arrest kidnappers wey collect palm oil, yam, schnapps as ransom",negative
khachaturyan sisters wey kill papa wey abuse dem touch russian pipo heart,negative
"anoda woman dem murder, pour acid shock port harcourt residents",negative
crocodile bite man wey put hand for wrong side of glass for crayfish party for sweden,negative
former black stars striker junior agogo don die for london,negative
pastor biodun fatoyinbo bone panel we dey investigate rape accuse,negative
lion attack and kill im owner wey bin trust am well-well,negative
"gun men shoot for bamenda, shout 'free sisuku ayuk’",negative
kano censorship board bin arrest top northern movie director sanusi oscar ontop music video dem say 'break law.',negative
"kidnappers demand palm oil, yam and schnapps as ransom",negative
kenyans dey vex as joints go close for census,negative
500 million bees die for brazil in three months. tins no too good for bees around di world right now.,negative
"supreme court troway atiku, pdp request to check inec server",negative
cameroon prison riot: group say security torture prisoners,negative
nasu strike don dey spoil tins for universities,negative
warning dey say meningitis fit kill,negative
"united states government deport 40 ghanaians sake of theft, sexual assault, fraud den stuff",negative
"for sentencing wey happen for 5:30am, e be like tins no go easy for sisiku ayub",negative
three african sportsmen wey don chop life ban from fifa,negative
cameroon court adjourn case for soldiers weh kill mami and pikin dem.,negative
we go pay customers soon if ghana gov’t unfreeze wana accounts – menzgold ceo,negative
fotos from di press conference wey don turn protest. prof wole soyinka suppose show to address pipo. members of show for di venue to block di area.,negative
police don block venue of wole soyinka press conference,negative
"police arrest five pipo for hausa, yoruba traders fight for lagos",negative
paris customer shoot waiter die sake of 'slow sandwich service',negative
dis situation get as e be o ekweremadu never hesperredit.,negative
rashida tlaib and ilhan omar: who be di two us congresswomen and why dem deny dem to enta israel?,negative
anoda girl dem murder for port harcourt hotel make pipo para,negative
local tori pipo dey report say di banned imn leader ibrahim el-zakzaky no fit reach agreement with authorities as to im treatment.,negative
: 30 days don waka but samson siasia mama still dey kidnappers hand,negative
[ player agyemang badu [ dey hospital with blood clot palava,negative
"one woman wey appear inside one viral video wey show as she flog one boy, lock am inside dog cage, don tok why she do am.",negative
el-zakzaky dey suffer from lead poisoning',negative
woman wey flog small boy lock am inside dog house go ansa case for court,negative
nigerian pastor dem kill for china make gofment frown face,negative
president buhari suspend di spip oga okoi obono-obla ontop accuse of mago-mago.,negative
el-zakzaky dey misbehave for india - fg,negative
heavy securtiy dey unity fountain for abuja wia two groups dey do i-no-go-gree.,negative
dis wan na afta di metropolitan police for uk say dem go investigate bbnaija housemate khafi wey go di show without permission.,negative
"mia khalifa shock pipo as she say she make only $12,000 from acting blue feems",negative
tekno agege song release no sweet nigeria gofment for belle.,negative
rivers government youth groups ban provoke reactions.,negative
alex iwobi transfer from arsenal pain nigerians well-well,negative
"""one of us don mess and i know who e be,"" na so members of one regional assembly for kenya begin dey point finger.",negative
"three die, eight dey hospital for cameroon afta deh chop fufu and njama-njama",negative
di hospital go radio to announce wetin dem go do if di deadi bodi owners no turn-up.,negative
nigeria police dey mourn.,negative
omoyele sowore detention for 45 days witout charge para groups for,negative
buhari wan investigate why army kill police dem mistake as kidnappers,negative
"""i only sleep with her once"" - man wey rape 10-year-old pikin",negative
leader of di revolution now protest omoyele sowore go remain for detention.,negative
di soldiers wey kill policemen and civilian for taraba mistake dem for kidnappers - army,negative
edo assembly crisis: nigeria house of reps say court no fit stop dem from taking over state assembly,negative
"how salamat aliyu, chemistry education 200 level student die for atbu bauchi bridge collapse.",negative
one of di journalist crime na say ‘de boys’ camp for e farm.,negative
di nigerian musician don already tok sorry for di video wey cause controversy but reports say police still invite am to ansa qweshion.,negative
nigeria police carry six revolution now protesters go court,negative
birds go replace jammeh face ontop gambia new money,negative
crisis shatter over 10 years investment for pipo wit disability for north west,negative
": heavy security take over day 2 venue, protesters dey find pipo dem arrest across nigeria",negative
nigeria pipo para for goment plan to charge 5% vat ontop online purchase,negative
"cotton, corn farmers di hear bad wit climate change but de situation fit change",negative
press conference from protesters for lagos,negative
shiites leader ibrahim el-zakzaky don get anoda bail from nigerian court,negative
inside oda tori for today tins don dey set for el zakzaky bail rulling today kaunda as security don full everywia,negative
police don dey arrest pipo ontop di protest for lagos,negative
"mean while, for places like abuja and port-harcourt police plenty but di protest neva start for those areas",negative
police don use tear gass pursue pipo comot from wia dem dey do dia protest fro lagos,negative
"as pipo dey gada, more piloce pipo don show for wia some pipo dey do dia own protest for lagos",negative
"follow we facebook live from national station surulere lagos, wia some pipo don start dia own protest",negative
: police say dem no sabi who arrest omoyele sowore wey dey ginger nigerians to do,negative
why dis girl get fish skin dis na warning: dis video fit make you feel one kain!,negative
amida na five year old pikin wey get rare condition wey make her skin be like ‘fish scale’. wetin be dis lamellar ichthyosis wey she dey suffer from? ️,negative
girl wey dem press kill inside hotel room dey shake,negative
defence hq dey react to tori say dem dey bury soldiers for secret to hide casualty figure.,negative
burundi opposition react afta jaguda pipo use poo-poo paint dia office,negative
el-zakzaky daughter deny suspension of shiite protest,negative
"buhari waec certificate: how to recover your original kpali if e loss, sabi fake certificate",negative
rivers state university 'cult clash' claim anoda student life,negative
shiites match break ontop free zakzaky protest for nigeria,negative
"terrorism in : groups wey worry sotey goment ban, call dem",negative
"anglophone crisis: sisiku, odas start hunger strike over missing anglophone prisoners",negative
boko haram kill my soldier pikin' wetin dey happun to di families of soldiers why pay di ultimate price?,negative
nigerian senate order govnor godwin obaseki to issue fresh proclamation letter to di seventh edo house of assembly within one week or else dem go take ova.,negative
nigeria former minister of information and culture tell senate during im screening say im grand pikin ask am why pipo dey call am 'liar mohammed',negative
five years afta di attack wey kill im best friend shehu still dey affected by di violence.,negative
court rule say katy perry copy hit song dark horse from christian rapper,negative
nigeria senate threaten edo assembly take over if govnor obaseki no comply,negative
ask nigeria goment to reverse shiites ban,negative
: five times wen abubakar shekau don die,negative
community for bayelsa butcher big whale wey land beach,negative
shiites: ibrahim el-zakzaky no show but court set ruling for bail ontop murder,negative
building collapse: two storey building fall down as landlord try to change pillars,negative
prison riots: two days lockdown for support anglophone prisoners afta riot,negative
shiite muslims say nigeria goment order to ban dem be like comedy show,negative
"buhari para as boko haram kill 65 pipo, attack mourners for north-east",negative
how kanuri pipo di suffer boko haram stigma for cameroon,negative
"kamto and e supporters don make six moon for ngata, amnesty wan goment for investigate torture",negative
"shiite protest: police warn nigerians not to circulate fake security advice, order security to tight kakaraka",negative
menzgold: accra court slap nana appiah mensah plus ghc1 billion bail condition,negative
"cameroon prison riots: goment say 43 prisoners wound, no man die for buea",negative
cameroon prison riot: authorities don put yaoundé for alert,negative
xenophobic attacks: nigerian students shutdown mtn office to protest kill kill of dia kontri pipo for south africa,negative
video of nigerian aid workers dey beg for freedom,negative
obituary: tunisia don choose who go replace late president beji caid essebsi,negative
kidnapping: police confam fresh kidnap along lagos/ibadan eress way,negative
rotimi amaechi tok say e no go ansa kwestions.,negative
nigeria 2019 elections: us sama some pipo visa restriction,negative
kondengui prison: mfoundi sdo accuse mrc for anglophone prisoners’ strike,negative
shiite protesters enta street again afta bloody monday clash,negative
": dalung, kachikwu, ogbe, dambazau, oda big names no make buhari 2nd term cabinet list",negative
airpeace plane jump off runway afta rain for lagos airport,negative
why we never release el zakzaky - presidency,negative
deputy commissioner of police die for abuja shiite clash,negative
"anglophone crisis: de world di watch how goment forces di kill, hrw rights group tok",negative
kenya finance minister henry rotich under arrest for corruption,negative
faan say di 'strange man' wey climb plane for lagos airport na from niger,negative
ruga settlement: why dis fulani herdsman no gbadun di plan,negative
building collapse for delta state don kill pipo,negative
na suspicion make pipo reject ruga - dele momodu,negative
faan suspend aviation security ogas on duty wen 'strange man' climb plane,negative
ruga: states for nigeria wey wan do settlement for herdsmen,negative
strange man' wey run from bush stop aeroplane from takeoff for lagos,negative
update dey on di tori. di coach don dey beg di kidnappers say make dem free im mama,negative
"boko haram kill colonel, captain plus three soldiers for ambush",negative
tiger wey escape from wildlife park run enta pesin house go sleep for im bed,negative
di latest update on di kidnap of samson siasia mama,negative
"cameroon drug sellers say deh go wear one trouser wit minister, as e wan stop dem business",negative
"miyetti allah oga say 'pipo wey dey against herdsmen, na which planet dem want make dem go'",negative
": you go fit trust di app with your face? if you dey worry or wonder wetin faceapp go use your foto do afta you use dia app, read am here.",negative
di gambia revolution: wetin change?,negative
president buhari tell nigerians to bone call for fulani herders to comot from south,negative
dr congo ebola outbreak declared public health emergency,negative
uganda go start dey give cows 'birth certificate',negative
edo state speaker reject call to shut down assembly,negative
minimum wage in nigeria: trade union threaten fresh strike as muhammadu buhari order immediate payment of n30k to junior civil servants,negative
can on coza: why cancel fresh protest ontop biodun fatoyinbo,negative
minimum wage: trade union dey threaten fresh strike ontop say president muhammadu buhari order immediate payment of n30k to junior civil servants inside .,negative
clarence seadorf: cameroon sack dia coach afta lions komot for afcon,negative
coza: can deny solidarity visit to pastor biodun fatoyinbo,negative
sea pirates kidnap 10 turkish sailors for nigeria,negative
dr congo pastor die of ebola afta e 'lay hands' on pipo,negative
bbc dey close dia office and operation for burundi,negative
"obasanjo letter to buhari: miyetti allah say obj dey give fulani herdsmen bad name, elain why dem call for im arrest",negative
boko haram: buhari goment say isha sesay book on chibok girls na mixture of confusion,negative
building collapse kill three pipo for central nigeria city,negative
"anglophone crisis: shooting, rain for kumba no let motorcycle riders work for 'kontri sunday'",negative
"police confam kidnap of sampson siasia mama, launch investigation",negative
police arrest man wey call museveni 'thief and liar' ontop facebook,negative
"nigeria customs deny poison tin tomato dey market, say product na contraband",negative
we no understand dis one o,negative
"obasanjo open letter ""nigeria fit suffer rwanda genocide"" - obj warn buhari",negative
pastors wey go lay hands on pipo to heal dem don catch ebola virus,negative
pipeline elosion: amnesty international say na police cause rivers elosion wey kill 48,negative
four reasons why couples go fight about money,negative
kismayo attack: how gunmen kill 26 pipo for somali hotel,negative
fresh gist: appeal court don troway suit wey challenge education qualification,negative
r. kelly dey under arrest ontop federal 'sex trafficking charges',negative
anglophone crisis: ecw $2.7m push for schools to reopen for cameroon english speaking region,negative
police for kano arrest three young boys wey kidnap and over drug five year old pikin,negative
pipo injure as shiite members clash again with police,negative
south african rapper aka eress im pain as super eagles win bafana bafana for afcon 2019,negative
world population day: woman wey born 17 times want more,negative
building collapse: secondary school fall down for port harcourt,negative
"trump: uk ambassador wey us presido call 'stupid, arrogant fool' don resign",negative
"shiite protest: senate dey vex for islamic movement of nigeria, security tight for national assembly",negative
america ban cameroon military official jean claude ango ango for seka bush meat trade corruption,negative
latest news about senator elisha abbo dey make pipo tok about senator oluremi tinubu,negative
sex abuse: rivers court sentence man wey rape eight years old to six years for prison,negative
"serena williams go pay $10,000 fine say she spoil wimbledon court",negative
paul chouta: cameroon journalist go remain for kondengui prison as court adjourn case,negative
nysc member die afta she use 'sniper' wash hair,negative
shiite members clash with police for national assembly,negative
daniel sturridge say im ready to pay n11 million or 'anytin' as ransom for im dog wey dem tiff,negative
ivf 'mistake': us couple say dem give birth to pikin wey no be dia own,negative
ghana vs tunisia: coach kwesi appiah blame black stars exit on var,negative
ghana vs tunisia: black stars don crash out of 2019 afcon,negative
custom officer wey promote imsef to comptroller general get mental problem - attah,negative
ghana parliament ‘drop’ de chamber after public opposition – kate addo,negative
kano road accident wey kill 19 pipo dey avoidable - frsc,negative
ijegun fire: '12 of my relative burn inside di pipeline elosion',negative
cameron boyce: five quick facts wey you suppose know about di disney star wey die at 20,negative
women wey dey use dangerous 'skin-lightening products' dey risk dia health',negative
icc rule say dr congo bosco ntaganda dey guilty of war crimes,negative
mandla maseko: di african astronaut wey die before im chance to enta space,negative
stevie wonder tell fans afta hyde park show say im go do kidney transplant,negative
"egypt vs south africa: coach aguirre chop sack, fa president abou-rida resign afta bafana bafana knockout pharaohs from afcon 2019",negative
nigeria vs cameroon: super eagles wilfred ndidi say im no fit assure nigerians anytin,negative
osaze odemwingie criticise defence tactics of nigeria super eagles coach gernot rohr,negative
my parents tell everibodi say i don die',negative
facebook marriage' for kano provoke islamic police to declare couple' wanted,negative
my mama no tell me say i get hiv before she die',negative
"live video as our pipo from bbc yoruba service dey live for ijegun, lagos where early mor mor fire happun on thursday",negative
swiss court sentence president biya e body guards for seka 'barbaric behaviour',negative
ghana parliament: campaigners wan ghanaians to march against lawmakers,negative
fire outbreak for ijegun lagos,negative
"kidnapping: “i no sleep for 62 days, president buhari no dey fit sleep”",negative
"facebook, instagram, whatsapp eerience small palava",negative
why kaffy &amp; oda nigerian celebs dey yab naira marley soapy dance,negative
president muhammadu buhari don suspend ruga settlement wey be nigeria goment grazing plan for herdsmen,negative
"heavy rain for japan don pursue 800,000 pipo comot from house",negative
komkom pipeline elosion: deadi bodi still trap inside swamp two weeks afta,negative
libya attack: at least 40 pipo don die for one detention centre,negative
ruga na serious mata and must be handled with care - soyinka,negative
brazil vs argentina: messi magic no work as dem lose 2-0 for copa semi-final,negative
elisha abbo elain why im attack lady for cctv footage,negative
ndc demand resignation of national security minister,negative
court don rule say former govnor ayodele fayose fit travel abroad even if im get 'corruption case' wit efcc,negative
plans to build new 450-seater parliament chamber dey bore ghanaians chakaa,negative
benue tanker elosion: 60 pipo die and 60 odas injure for di accident,negative
radio bayelsa shut down afta early morning fire outbreak,negative
buhari don fire nhis oga usman yusuf,negative
coza: pastor biodun fatoyinbo don step down from pulpit,negative
ghana wan make insults against female politicians crime,negative
"protesters don dey gada momentum for nigeria capital, abuja to do we-no-go gree on di rape mata of busola dakolo",negative
the way i dress should is not a guarantee that you should rape me-protesters,negative
nigerians don gada say make pastor biodun fatoyinbo comot afta rape allegations from celeb photographer busola dakolo watch live:,negative
coza breaking: protesters dey gada to match against rape allegation,negative
afcon 2019: we never see money from nff - ahmed musa,negative
"rape and consent na serious mata not just for naija but di whole world. make e for no loss, una ogbonge celebs chook mouth on top di mata for we new program, tok tok feat. , &amp;",negative
fulani herdsmen: 'i no dey supervise ruga settlement establisment',negative
kano emir comot imam wey no gree stop ramadan fast afta sultan order am,negative
"black stars thomas agyepong go miss next match, andre ayew appearance be fifty-fifty",negative
more dan 30 pipo die for dr congo 'illegal mining' accident,negative
afcfta: di problem nigeria get wit africa continental free trade area agreement - muhammadu buhari,negative
"“i say ah, omo no go dia, dis tin no easy, if i try am i go knack my head for ground! … japa!!!”",negative
"tunisia dey shake ontop twin bomb blasts, president beji essebsi dey hospital",negative
anybody wey say ruga settlement na idea to collect dia land need purge against hatred - presidency,negative
we dey record like 120 rape cases every month - doctors without borders,negative
germany angela merkel body shake again for one ceremony for berlin,negative
"drug abuse: nigeria anti-drug law agency say cocaine, heroine na im young pipo abuse pass for one south-south state",negative
why zimbabwe ban foreign currency,negative
ncaa dey investigate ore road helicopter wey go pick stroke victim,negative
"damilola: ""oga dem pipo go pay for my drink"" see wetin happen wen we fire question till mouth pain you :",negative
nigeria v guinea : 'bonus wahala fit affect super eagles for nations cup',negative
drug abuse: cocoldine and shisha plus na im dey reign for kano',negative
beauty queen wey gambia eresident jammeh 'rape',negative
paul kagame: oyibo get 'human right superiority complex',negative
"afcon 2019: 16 teams saf black stars no fit carry trophy, how much more 24 teams – ghanaians react",negative
musiliu obanikoro collect n1.2bn cash from me - efcc witness,negative
afcon 2019: joel tagueu don go house because of heart condition,negative
women world cup 2019: fifa go chook eye for cameroon behaviour afta england defeat dem,negative
"fifa di check cameroon dia behaviour for game against england, how you see’am? // //",negative
hiv/aids: ghana gospel musician make hot over claims he get cure,negative
presidential election tribunal reject pdp request to inspect inec server,negative
"cameroon road accident: 21 pipo die, 16 wound, one disappear",negative
women's world cup: england coach say shame catch am for cameroon behaviour,negative
"air canada: woman sleep, forget hersef inside plane",negative
hele paul simple life tips include say ‘eensive school no mean say pikin go sabi book’,negative
port harcourt international airport trap passengers afta air peace plane speed pass runway,negative
"serap sue ccb to publish properties of nigeria govnors, presidents since 1999",negative
dem shoot army chief ontop coup attempt for,negative
na lie say super falcons players no wan comot hotel for france - media officer,negative
"mmm scheme fit don come back, robot to control tins",negative
women's world cup: nigeria super falcons don crash comot against germany,negative
boris johnson: police show for mp house ontop report of quarrel wit partner,negative
musician wey yab kano govnor for song don get two years jail sentence,negative
afcon 2019 dey start on friday but indomitable lions of cameroon delay journey to egypt,negative
festus adedayo no get regrets say senate president no appoint am because im yab buhari,negative
women's world cup: cameroon nack new zealand but nigeria leg dey shake,negative
world refugee day: more dan 70 million pipo dey displaced worldwide - unhcr,negative
nigerian festivals wey dey forbid women one kain,negative
kano shooter wey use pump action gun fire pipo during horse race dey normal - neighbours,negative
vaccine: how low trust for vaccination dey cause global wahala,negative
lagos-badagry eress way na national disgrace - passenger,negative
kano shooter use pump action gun fire pipo during horse race,negative
govnor ganduje say na armed robbers tiff n6.8m wey vanish for kano zoo,negative
ghana traders take force lock up nigerian shops for kumasi,negative
nigeria police arrest musician for song wey yab govnor ganduje,negative
egypt's mohammed morsi: dem don bury di former president wey die for court,negative
un world population 2019 report show kontries wey human beings go reduce by 2050,negative
that’s time. 0 - 1 france came into this match &amp; the tournament as favourites but nigeria held them and held the…,negative
anglophone crisis: pipo for northwest cameroon di fear for waka about afta governor komot curfew,negative
egypt former president mohammed morsi don die for court,negative
"breaking: egypt's former president, mohammed morsi, don die for court, according to state tv. we still dey update dis tori:",negative
"borno buicide attacks: three bombers kill dozens for konduga, state",negative
jalingo violence start from tudiri village - police,negative
"day of di african child: pregnant girls, young mothers no dey go school - human rights watch",negative
zamfara killings: anoda 34 pipo don die,negative
asuu leader say 'n208bn no be wetin dem demand' from buhari,negative
copa america 2019: fans yab lionel messi as argentina lose 0-2 to colombia,negative
buhari campaigner para as eu final report fault nigeria 2019 election,negative
ruggedman: ‘boys attack’ di rapper for london restaurant,negative
deadly ebola outbreak no be global threat,negative
apapa traffic: nigeria don extend presidential marching order to clear hold up,negative
tanzania gofment sama 25% tax ontop wigs,negative
gorilla chop n7 million for kano zoo for nigeria?,negative
"maths, chemistry, oda subjects wey pipo feel say no epp dem for life",negative
"ghana, togo police arrest second nigerian suspect over de kidnapping of three takoradi girls",negative
port harcourt mall elosion land five pipo for hospital,negative
new ebola outbreak for central africa dey make pipo fear,negative
"ghana police arrest three nigerians, five ghanaians over kidnapping of two canadian girls",negative
bandits for nigeria north-west different from killer herdsmen - police,negative
okorocha no show,negative
wetin dey happen? first south africa chop am. nigeria collect flogging afta. now cameroon don collect dia own from canada.,negative
justin bieber challenge tom cruise to ufc cage fight,negative
mali attack kill 100 pipo for dogon village,negative
"uk, canada government alert dema nationals over kidnapping den terror threats for ghana",negative
"nigeria afcon list: kelechi iheanacho, semi ajayi no dey super eagles list to egypt",negative
sudan security forces fire protesters tear-gas,negative
nigeria vs norway: super falcons lose opening match 3-0 for fifa women world cup 2019,negative
nyesom wike: rivers state governor cut andoni chiefs 72 hours warning to produce kidnapped eatriates,negative
sudan crisis: opposition call for nationwide protest afta dem arrest dia leaders,negative
sudan arrest opposition leaders afta dem meet wit ethiopia leader,negative
14 lions don escape from south africa national park,negative
george weah: thousands wan protest against liberia presido,negative
"ait, raypower fm no dey obey law dats why we suspend dem - nbc",negative
senate president: sentor ali ndume say im no go step down for ahmad lawan,negative
niels högel: di german ex-nurse go serve life sentence afta im kill 85 patients,negative
ghana police dey on manhunt for gunmen wey kidnap two canadians,negative
caf order esperance to return cup and replay champions league final,negative
white meat like chicken still get high cholesterol like red meat - new study,negative
sudan crisis: number of deadi bodi don rise to 60,negative
tiananmen square: africa kontris wey take protest wey resemble wetin for 1989 china to change tins,negative
norwegian refugee council say world don turn deaf to cameroon crisis,negative
"anthony joshua , wen orobo help you fight",negative
nana akufo-addo : 21 people dey face prosecution for corruption-related offences,negative
anglophone crisis: rights groups say united nations security council dey keep quiet.,negative
calistus obi: nimasa ega chop 42 years jail sentence,negative
sonara fire: cameroon refinery big tanker still di burn,negative
donald trump don land uk wia protests dey wait for am,negative
ghana police detain burkina faso national who enter catholic church plus pistol,negative
"drake sports curse: foto dey wey di singer snap wit anthony joshua, sergio ramos, serena williams, as roma wey pipo blame for games dem lost",negative
anthony joshua lose im fight to andy ruiz,negative
jose antonio reyes: former arsenal winger don die at age of 35,negative
caf champions league: esperance win afta wydad abandon match because of var,negative
woman use razor tear her belle to born her pikin,negative
traditional senegalese wrestling dey combine power wit juju. wrestlers dey wear charm wey get mystical powers wey suppose give dem strength and protection against dia opponent inside di ring.,negative
jamb madam wey say snake swallow n36m tell court say she no dey guilty,negative
see wetin some pipo for naija dey suffer anytime rainy season show.,negative
"accra floods: 27 years of democracy, 7 general elections den 5 presidents but still ghana dey flood every year",negative
may 29 2019 in nigeria: odd tins wey happun on inauguration day,negative
anglophone crisis: cameroon no wan poke-nosing to solve anglophone crisis,negative
"adewura bello, na inside dis open manhole na im she meet her untimely death - eyewitness",negative
how fake football agents dey wayo players wey wan go europe,negative
muhammadu buhari dey blame nigeria police for security palava,negative
kannywood kidnapping: 'na only mango dem give us chop' - kannywood director,negative
adewura bello: 26 year old young lady death dey make nigerians para for social media,negative
green leafy vegetables: ghana goment place ban on ert of leafy vegetables till-till-till,negative
jos crisis: pipo fit don die for fresh fight fight,negative
you remember success adegor? serap don sue govnor okowa for poor condition of primary schools,negative
"nigeria go 'work out' di $130,000 iaaf missing money mata' - solomon dalung",negative
“student use dead policeman weapon cause panic for port harcourt school” - police,negative
"barcelona vs valencia, messi chop double disappointment for 2018/2019 football season",negative
aisha buhari call out president muhammadu buhari social investment programme say e get ‘k-leg’,negative
"katsina death penalty: 'death sentence law for kidnapping and cattle rustling, no follow'",negative
india fire: 19 students wey bin dey study for school don die,negative
"“four different pipo, two of dem priests, rape me""",negative
france 2019: cameroon lionesses coach drop best scorer for league for e 23-man list,negative
kannywood industry go soon ban love movies for some years,negative
"adamawa police don spend n30,000 to feed vulture wey dem arrest as spy",negative
supreme court rule say apc zamfara no get legit votes for 2019 elections,negative
brexit: theresay may cry tears wen she resign as british prime minister,negative
us weather: missouri deadly tornado don kill three pipo,negative
five nigerian ministers wey 'vex' pipo for buhari first term,negative
na drivers witout licence dey cause traffic for lagos - frsc federal road safety commission frsc for lagos state nigeria say dem ticket over 100 cars for di first day of operation show your driver's licence for di state. see di full interview,negative
ndlea dey quarrel police for kano sake of suspect arrest,negative
uganda boat capsize for lake albert and many pipo don die,negative
